2021 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC04,Doctors who Communicate Well - DMC05,Call Center – Beneficiary Hold Time - DMC06,Pneumonia Vaccine - DMC07,Access to Primary Care Doctor Visits - DMC08,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC09,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC10,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC11,Initiation of Substance Use Disorder Treatment - DMC12,Engagement of Substance Use Disorder Treatment - DMC13,Initiation and Engagement of Substance Use Disorder Treatment Average DMC14,Hospitalization for Potentially Preventable Complications - DMC15,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC16,Transitions of Care - Notification of Inpatient Admission - DMC17,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC18,Transitions of Care - Receipt of Discharge Information - DMC19,Physical Functioning Activities of Daily Living - DMC20,Care of Older Adults - Functional Status - DMC21,Kidney Health Evaluation for Patients With Diabetes - DMC22,Improving or Maintaining Physical Health - DMC23,Improving or Maintaining Mental Health - DMC24,Cardiac Rehabiliation - Acheivement - DMC25,Cardiac Rehabiliation - Engagement 1 - DMC26,Cardiac Rehabiliation - Engagement 2 - DMC27,Cardiac Rehabilation - Initiation - DMC28,Colorectal Cancer Screening (Age 45-75) - DMC29,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD01,Call Center – Beneficiary Hold Time - DMD02,MPF – Stability - DMD03,Call Center – Pharmacy Hold Time - DMD04,Plan Submitted Higher Prices for Display on MPF - DMD05,Reminders to Fill Prescriptions - DMD06,Reminders to Take Medications - DMD07,Antipsychotic Use in Persons with Dementia - DMD08,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD09,Concurrent Use of Opioids and Benzodiazepines - DMD10,Use of Opioids at High Dosage in Persons Without Cancer - DMD11,Use of Opioids from Multiple Providers in Persons Without Cancer - DMD12,Polypharmacy: Use of Multiple Anticholinergic Medications in Older Adults - DMD13,Polypharmacy: Use of Multiple CNS-Active Medications in Older Adults - DMD14,Initial Opioid Prescribing (IOP-LD) - DMD15,Persistence to Basal Insulin (PST-INS) - DMD16,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting the Plan to Provide and Pay for Needed Care (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
H0544,Anthem Blue Cross,BLUE CROSS OF CALIFORNIA,"Elevance Health, Inc.",25%,58%,79%,17%,Not enough data available,0:50,61%,90%,1.00%,65%,82%,21%,2%,12%,12%,75%,7%,81%,7%,97%,74%,62%,75%,81%,1%,2%,3%,1%,68%,2.17%,0:14,100,0:41,97,53%,45%,10%,6%,13.59%,4.02%,0.25%,7.72%,10.26%,17.91%,64.84%,CMS Found Issues with Plan's Data,19%,31%,17%,Not Available,17%,100
H0562,Wellcare by Health Net,"HEALTH NET OF CALIFORNIA, INC.",Centene Corporation,53%,60%,92%,24%,90,1:36,71%,93%,9.52%,67%,82%,13%,1%,7%,Not enough data available,70%,12%,85%,9%,96%,61%,64%,72%,81%,4%,5%,6%,2%,75%,10.05%,1:38,102,0:11,93,60%,35%,9%,7%,14.38%,5.05%,0.13%,6.89%,9.96%,18.12%,64.84%,4.56,16%,30%,26%,Not Available,15%,60
H0571,CCHP (Chinese Community Health Plan),CHINESE COMMUNITY HEALTH PLAN,Chinese Hospital Association,Not enough data available,45%,Not enough data available,7%,Not enough data available,0:34,64%,92%,1.00%,74%,79%,23%,0%,11%,Not enough data available,50%,7%,88%,13%,85%,70%,82%,64%,81%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,72%,1.00%,0:34,100,0:20,97,50%,63%,3%,No data available,9.42%,0.00%,0.00%,4.90%,3.98%,1.70%,67.62%,CMS Found Issues with Plan's Data,Not Available,Not Available,Not Available,Not Available,Not Available,80
H0609,UnitedHealthcare,"UnitedHealthcare Benefits of Texas, Inc.","UnitedHealth Group, Inc.",52%,64%,86%,29%,91,0:35,72%,96%,1.02%,73%,80%,22%,2%,12%,11%,72%,15%,90%,14%,97%,87%,68%,69%,87%,5%,15%,13%,9%,79%,1.02%,0:35,100,0:46,68,58%,29%,9%,15%,9.21%,7.82%,0.18%,7.16%,9.27%,12.25%,65.02%,5.21,19%,15%,20%,9%,15%,100
H0624,UnitedHealthcare,"UnitedHealthcare Benefits of Texas, Inc.","UnitedHealth Group, Inc.",49%,63%,94%,28%,Not enough data available,0:22,61%,97%,0.00%,75%,86%,36%,5%,20%,13%,68%,54%,88%,24%,92%,82%,43%,66%,84%,3%,8%,6%,8%,74%,0.00%,0:22,100,0:37,72,58%,38%,9%,19%,12.97%,12.37%,1.38%,15.42%,20.01%,14.32%,72.16%,7.3,10%,18%,13%,Not Available,10%,100
H0628,Aetna Medicare,AETNA HEALTH OF OHIO INC.,CVS Health Corporation,47%,73%,91%,31%,93,0:21,70%,96%,1.04%,81%,85%,36%,6%,21%,17%,92%,12%,78%,8%,98%,89%,40%,73%,87%,5%,8%,8%,5%,75%,1.04%,0:21,100,0:35,93,57%,32%,6%,8%,14.48%,4.18%,0.54%,8.51%,10.96%,16.95%,68.50%,3.69,16%,18%,22%,16%,17%,100
H0630,Kaiser Permanente,KAISER FOUNDATION HP OF CO,"Kaiser Foundation Health Plan, Inc.",73%,72%,88%,28%,92,0:34,86%,95%,2.00%,60%,88%,46%,6%,26%,12%,93%,98%,97%,88%,98%,96%,76%,70%,84%,0%,0%,0%,10%,82%,2.00%,0:34,102,0:28,43,58%,27%,10%,16%,3.65%,2.69%,0.86%,4.66%,7.06%,3.87%,71.76%,5.93,21%,28%,14%,9%,14%,100
H0672,Cigna Healthcare,"CIGNA HEALTHCARE OF COLORADO, INC.",The Cigna Group,Not enough data available,68%,Not enough data available,Not enough data available,Not enough data available,0:40,69%,91%,0.00%,74%,74%,35%,1%,18%,16%,85%,49%,83%,40%,Plan too new to be measured,84%,48%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,62%,0.00%,0:40,96,0:21,47,49%,26%,6%,No data available,8.23%,6.22%,1.41%,7.05%,10.05%,8.73%,64.91%,23.91,32%,33%,16%,12%,20%,100
H0710,UnitedHealthcare,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,"UnitedHealth Group, Inc.",Not enough data available,80%,Not enough data available,4%,No data available,0:37,Plan too small to be measured,100%,1.14%,72%,92%,72%,5%,39%,Not enough data available,74%,57%,88%,3%,No data available,100%,9%,No data available,No data available,0%,0%,0%,0%,69%,1.14%,0:37,100,0:46,83,No data available,No data available,6%,6%,16.61%,3.60%,0.03%,12.37%,27.55%,53.15%,77.77%,0.49,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0712,Wellcare,"WELLCARE OF CONNECTICUT, INC.",Centene Corporation,44%,62%,Not enough data available,31%,Not enough data available,0:24,66%,94%,0.00%,82%,90%,33%,8%,20%,17%,51%,16%,82%,12%,92%,55%,48%,72%,86%,6%,10%,6%,4%,61%,0.00%,0:24,100,1:07,92,66%,50%,12%,10%,16.32%,8.84%,0.43%,9.53%,11.71%,15.05%,71.11%,7.01,21%,24%,10%,Not Available,11%,60
H0724,Wellcare by Allwell,"BUCKEYE HEALTH PLAN COMMUNITY SOLUTIONS, Inc.",Centene Corporation,29%,57%,Not enough data available,Not enough data available,Not enough data available,0:47,63%,89%,9.00%,73%,64%,38%,5%,21%,24%,31%,3%,74%,2%,97%,Plan not required to report measure,37%,70%,89%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,58%,9.00%,0:47,102,0:11,92,53%,29%,6%,No data available,12.08%,4.53%,0.00%,9.71%,10.02%,15.38%,67.81%,5.27,27%,26%,21%,Not Available,17%,60
H0738,AmeriHealth Caritas VIP Care (HMO-D-SNP),"AmeriHealth Caritas VIP Next, Inc.","Independence Health Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0:09,Plan too new to be measured,Plan too new to be measured,14.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0.00%,0:06,No data available,0:05,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0755,UnitedHealthcare,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,"UnitedHealth Group, Inc.",54%,63%,90%,34%,Not enough data available,0:33,75%,95%,2.02%,78%,83%,31%,5%,18%,14%,54%,16%,82%,12%,98%,Plan not required to report measure,48%,73%,85%,7%,11%,12%,5%,74%,2.02%,0:33,100,0:46,71,49%,20%,9%,6%,18.43%,10.26%,0.25%,5.49%,7.78%,10.61%,66.61%,3.87,15%,22%,25%,7%,7%,100
H0764,UnitedHealthcare,"UNITEDHEALTHCARE OF NEW ENGLAND, INC.","UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0:37,Plan too new to be measured,Plan too new to be measured,1.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,1.00%,0:37,No data available,0:37,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0783,Humana,"HUMANA BENEFIT PLAN OF TEXAS, INC.",Humana Inc.,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,1:59,Plan too small to be measured,Plan too small to be measured,3.19%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,Plan not required to report measure,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,3.19%,1:59,99,0:09,83,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,13.51%,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0798,Medica,MEDICA COMMUNITY HEALTH PLAN,Medica Holding Company,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,1:25,Plan too small to be measured,Plan too small to be measured,0.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,Plan not required to report measure,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0.00%,1:25,107,0:21,47,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,9.04%,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0826,Integrated HealthPlan,"INNOVATIVE INTEGRATED HEALTH COMMUNITY PLANS, INC.","Innovative Integrated Health, Inc.",Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,0:29,Plan too small to be measured,Plan too small to be measured,7.07%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,Plan not required to report measure,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,20.00%,0:38,No data available,0:33,2,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No Data Available,Not Available,Not Available,Not Available,Not Available,Not Available,80
H0838,Brand New Day,"UNIVERSAL CARE, INC.","Bright Health Group, Inc.",42%,58%,84%,13%,Not enough data available,1:53,67%,94%,1.00%,70%,84%,23%,2%,12%,8%,63%,12%,83%,5%,96%,85%,57%,72%,82%,1%,3%,3%,1%,69%,1.00%,1:53,101,0:38,95,53%,39%,9%,7%,12.62%,3.78%,0.07%,8.55%,9.46%,7.56%,63.58%,4.51,19%,27%,13%,Not Available,14%,60
H0845,UnitedHealthcare,"UNITEDHEALTHCARE OF ILLINOIS, INC.","UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0876,CCA Health Rhode Island,"Commonwealth Care Alliance Rhode Island, LLC","Commonwealth Care Alliance, Inc.",Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,0:20,Plan too small to be measured,Plan too small to be measured,2.02%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,No data available,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,2.02%,0:20,No data available,0:16,44,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,80
H0885,Braven Health,HEALTHIER NEW JERSEY INSURANCE COMPANY,"NJ Collaborative Care, LLC",66%,66%,Not enough data available,Not enough data available,90,0:53,67%,96%,0.00%,70%,82%,39%,3%,21%,18%,74%,15%,90%,15%,Plan too new to be measured,Plan not required to report measure,35%,Plan too new to be measured,Plan too new to be measured,6%,11%,12%,4%,63%,1.00%,0:12,98,0:17,50,53%,23%,6%,No data available,18.85%,11.51%,0.09%,5.25%,7.81%,8.80%,65.48%,6.14,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0907,Amerigroup Iowa,"AMERIGROUP IOWA, INC.","Elevance Health, Inc.",70%,85%,Not enough data available,24%,Not enough data available,1:14,57%,96%,0.00%,79%,89%,54%,11%,32%,29%,69%,14%,88%,11%,Plan too new to be measured,64%,34%,Plan too new to be measured,Plan too new to be measured,17%,17%,17%,26%,66%,2.00%,0:10,100,0:41,95,48%,41%,13%,No data available,21.53%,7.93%,0.26%,16.49%,25.97%,16.84%,76.91%,9.31,18%,28%,8%,Not Available,12%,100
H0908,Wellcare by Allwell,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Centene Corporation,40%,59%,Not enough data available,Not enough data available,Not enough data available,0:59,58%,86%,6.50%,74%,75%,53%,6%,29%,25%,35%,5%,79%,3%,94%,75%,31%,57%,78%,0%,5%,2%,9%,52%,6.50%,0:59,103,0:11,90,49%,35%,6%,No data available,13.30%,4.62%,0.35%,9.84%,11.27%,13.85%,67.52%,9.87,30%,37%,Not Available,Not Available,29%,60
H0913,Wellcare,"WELLCARE HEALTH PLANS OF NEW JERSEY, INC.",Centene Corporation,38%,75%,Not enough data available,42%,Not enough data available,0:30,51%,93%,1.01%,65%,85%,40%,7%,24%,17%,42%,13%,80%,6%,93%,56%,43%,65%,83%,0%,0%,0%,0%,57%,1.01%,0:30,100,1:07,95,63%,52%,7%,6%,23.53%,13.19%,0.11%,10.81%,11.66%,20.01%,72.05%,8.78,24%,35%,17%,Not Available,20%,60
H0927,Blue Cross Community MMAI,HEALTH CARE SERVICE CORPORATION,Health Care Service Corporation,53%,54%,90%,19%,92,1:29,63%,94%,1.00%,71%,88%,49%,8%,29%,21%,16%,2%,59%,2%,92%,Plan not required to report measure,50%,74%,83%,1%,6%,8%,1%,64%,1.00%,1:29,100,0:19,50,63%,47%,7%,8%,21.44%,3.93%,0.58%,9.40%,14.90%,13.27%,71.18%,0.64,Not Available,Not Available,Not Available,Not Available,Not Available,80
H0969,Wellcare,WELLCARE HEALTH INSURANCE COMPANY OF NEW HAMPSHIRE,Centene Corporation,Not enough data available,73%,Not enough data available,Not enough data available,Not enough data available,0:22,63%,92%,0.00%,78%,87%,57%,10%,33%,16%,44%,16%,82%,17%,Plan too new to be measured,Plan not required to report measure,25%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,53%,0.00%,0:22,100,1:07,91,54%,33%,10%,No data available,26.58%,18.45%,0.00%,8.38%,11.82%,15.56%,72.03%,8.19,33%,31%,19%,17%,30%,60
H0976,SCAN Health Plan,SCAN HEALTH PLAN,SCAN Group,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0978,SCAN Health Plan,"SCAN HEALTH PLAN NEVADA, INC.",SCAN Group,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0:44,68%,93%,3.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,68%,12%,81%,8%,Plan too new to be measured,99%,70%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,64%,3.00%,0:44,101,0:21,46,61%,33%,7%,No data available,11.75%,3.01%,0.00%,3.31%,10.16%,10.57%,63.11%,24.48,Not Available,Not Available,Not Available,Not Available,Not Available,80
H0982,Solis Health Plans,"SOLIS HEALTH PLANS, INC.","Athena Healthcare Holdings, LLC",Not enough data available,65%,Not enough data available,Not enough data available,94,0:04,38%,95%,1.00%,Not enough data available,Not enough data available,13%,0%,6%,7%,50%,0%,82%,0%,87%,92%,61%,55%,71%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,50%,1.00%,0:04,100,0:16,47,55%,67%,11%,No data available,32.92%,7.19%,0.00%,10.35%,18.00%,2.87%,73.56%,4.62,Not Available,Not Available,Not Available,Not Available,Not Available,100
H1016,AvMed Medicare,"AVMED, INC.",Sentara Health Care (SHC),36%,61%,Not enough data available,27%,92,0:49,68%,97%,1.02%,71%,86%,7%,1%,4%,15%,58%,19%,89%,9%,93%,Plan not required to report measure,66%,63%,83%,1%,7%,7%,1%,85%,1.02%,0:49,100,1:06,89,63%,37%,11%,No data available,25.50%,8.78%,0.00%,6.32%,9.56%,13.81%,59.59%,5.59,17%,30%,12%,Not Available,21%,80
H1019,"CarePlus Health Plans, Inc.","CAREPLUS HEALTH PLANS, INC.",Humana Inc.,37%,63%,84%,26%,Not enough data available,0:48,54%,95%,0.00%,71%,85%,24%,2%,13%,11%,87%,21%,91%,17%,93%,96%,73%,65%,86%,0%,3%,3%,1%,78%,0.00%,0:48,100,0:09,84,56%,44%,6%,7%,16.66%,7.55%,0.13%,8.42%,12.84%,19.20%,66.42%,21.32,15%,30%,11%,6%,14%,100
H1032,Wellcare,"Sunshine State Health Plan, Inc.",Centene Corporation,34%,61%,85%,25%,Not enough data available,0:24,57%,94%,0.00%,72%,82%,14%,2%,8%,11%,65%,5%,86%,3%,95%,83%,67%,70%,85%,1%,3%,2%,1%,71%,0.00%,0:24,101,1:07,94,62%,44%,8%,6%,15.74%,9.23%,0.14%,9.86%,11.96%,17.31%,63.31%,11.45,20%,26%,17%,8%,18%,60
H1035,Florida Blue HMO,"FLORIDA BLUE MEDICARE, INC.",Guidewell Mutual Holding Corporation,38%,65%,84%,34%,91,1:16,67%,93%,2.01%,73%,81%,18%,1%,9%,12%,58%,18%,85%,11%,100%,90%,65%,77%,80%,1%,4%,3%,3%,77%,2.01%,1:16,100,0:17,49,47%,28%,7%,6%,21.54%,8.95%,0.11%,5.14%,11.22%,10.16%,63.75%,3.93,23%,33%,16%,Not Available,11%,80
